Distinguished Lecture Series

Date            | Topic                                                       | Expert
------------------------------------------------------------------------------------------------------------
03-May-21       | Strategic Leadership                                         | Lt. Gen Alok Singh Kler, PVSM, VSM, General Officer Commanding in Chief, South Western Command
23-Apr-21       | Opportunities of AI applied on Machine Vision Quality Control| Mr. Alessandro Liani, President and CEO, Video Systems Srl, Codroipo (UD) Italy
                | Solution on Manufacturing                                    |
26-Mar-21       | Navigating Research During the Pandemic                      | (1) Prof. Sushil Sharma, Associate Dean and Professor of Information Systems, Ball State University, USA 
                                                                                | (2) Prof. Jagdish Khubchandani, Prof. of Public Health, New Mexico State University, USA
22-Mar-21       | Gigaton Problems, Gigaton Needs: the Urgency of Addressing   | Melanie Kenderdine, Principal, Energy Futures Initiative, and Non-resident 
                | Climate Change                                               | senior fellow, Atlantic Council, Washington DC, USA
24-Feb-21       | Transportation Electrification and Autonomous E-mobility –   | Dr. Sheldon S. Williamson, Canada Research Chair in Electric Energy Storage Systems 
                | Opportunities and Challenges                                 | for Transportation Electrification, Professor, Department of Electrical, Computer 
                                                                                | and Software Engineering, Faculty of Engineering and Applied Science, University of Ontario-Institute of Technology, Canada.
18-Feb-21       | Understanding Crime: Adding Algorithmic Intelligence         | Prof. Dr. Allan Brimicombe, Emeritus Professor, University of East London
18-Jan-21       | Systems Engineering                                          | Dr. Janet Allen, John and Mary Moore Chair of Engineering Co-Director, Systems Realization Laboratory at the University of Oklahoma, Norman, Oklahoma, USA
12-Dec-20       | Swami Vivekananda: Channelizing Youth Power for Nation       | Mr. Côme Carpentier de Gourdon, French Scholar on Indology
                | Building                                                     |
05-Dec-20       | Talk on ‘Leadership’                                         | Mr. S. R. Chitnis, Vice President – Technical Services, JKLC and Mr. Manish Shekhar, DGM-Human Resource, JKLC.
01-Oct-20       | Camera & My Viewpoints                                       | Mr. Dilip Banerjee, Photojournalist and former photo editor at India Today
12-May-20       | Global Business Landscape: Post Covid 19                     | Dr. Jagdish Sheth, The Charles H Kellstadt Professor of Marketing at Emory University and Padma Bhushan Award Winner of 2020
23-Apr-20       | Rat Race and Beyond: A Personal Perspective on Education     | Dr. Ayush Bhandari, Ph.D, MIT and Faculty, Imperial College London
                | and Career Choices                                           |
13-Apr-20       | Getting Ready for New Normal                                 | Dr. Pramath Raj Sinha, Member, Board of Management, JKLU
15-Jan-20       | The Art of Publishing: What, When, Where and How to Publish  | Prof. Bala Subrahmanya, Senior Professor from Indian Institute of Sciences (IISc.), Bangalore
12-Dec-19       | Quality Research                                             | Prof. D.P. Kothari, Former Deputy Director and Director i/c IIT-D, and VC VIT University, Vellore
07-Oct-19       | Institution Building                                         | Lt. Gen Arun K Sahni, Former Commander-in-Chief, Indian Army and JKLU Academic Advisory Board member
17-Sep-19       | Healthy Way of Life                                          | Shri MH Dalmia, President, OCL India Ltd.
08-Aug-19       | Sources for Research Ideas: A Marriage of Theory, Observation| Dr. Easwer Iyer, Professor, University of Massachusetts, Amherst, USA.
                | Data Gathering, Analysis & Reporting                         |
05-Mar-19       | Cache Efficient Computing                                    | Prof Sartaj Sahni, Distinguished Professor University of Florida, USA & Member: Academic Advisory Board, JKLU
18-Feb-19       | The Key Challenges Before India                              | Mr. Ajay Shankar, Former Secretary (Industry) to Government of India & JKLU Board of Management Member
08-Feb-19       | Concepts of Marketing                                        | Prof. Easwar Iyer, Professor and Head, Marketing Department, University of Massachusetts, Amherst
17-Jan-19       | Cutting-Edge Touch Technology                                | Prof. Mandayam A. Srinivasan, Global Founder of real and virtual touch enabled robotic technology or ‘haptics’
14-Jan-19       | Can Government Do Anything Right?                            | Professor Alasdair Roberts, Director at The School of Public Policy and Professor of Political Science, University of Massachusetts, Amherst (UMass Amherst)
11-Jan-19       | Improve innovative, decision making and problem solving      | Prof. MP Poonia, Vice-Chairman, AICTE
                | skills of students                                           |
10-Jan-19       | Insights from experience at Accenture                        | Shri Sanjay Jain, Ex-Accenture & JKLU Board of Management Member
